experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
a3249303-c18a-4ee6-920f-cfc6b0f53b17,2024-05-28-14-13-13,2024-05-28-14-13-13,True,2024-05-28 14:13:13.196883,,,Pipeline has been started.,experiment.csv,,,2024-05-28 14:13:13.197882
a3249303-c18a-4ee6-920f-cfc6b0f53b17,2024-05-28-14-13-13,2024-05-28-14-13-13,False,2024-05-28 14:13:13.196883,2024-05-28 14:14:01.319435,0 days 00:00:48.122552,Pipeline has been completed.,experiment.csv,0.8836171615981422,True,2024-05-28 14:14:01.319435
