iter	RMSE
0	14.91885576
1	14.81994215
2	14.72252279
3	14.62212505
4	14.52556082
5	14.43414999
6	14.33822886
7	14.25432787
8	14.16623027
9	14.06730407
10	13.97184849
11	13.88688467
12	13.79619052
13	13.70821143
14	13.61637882
15	13.52510523
16	13.43490728
17	13.349485
18	13.26431856
19	13.17826942
20	13.10700217
21	13.02654246
22	12.94090138
23	12.85637392
24	12.77305517
25	12.69856055
26	12.62007115
27	12.5423701
28	12.4641293
29	12.39251331
30	12.31584885
31	12.23609071
32	12.16304867
33	12.08540933
34	12.00816022
35	11.93551999
36	11.860994
37	11.80122317
38	11.72780345
39	11.65500337
40	11.58448585
41	11.51926741
42	11.45132358
43	11.39402523
44	11.33122268
45	11.26631705
46	11.20208985
47	11.14133976
48	11.08228707
49	11.0228296
50	10.96130025
51	10.89802411
52	10.84034206
53	10.77693786
54	10.71895375
55	10.66124821
56	10.60491635
57	10.54623245
58	10.4888073
59	10.42886315
60	10.37173125
61	10.31603454
62	10.26383195
63	10.20930105
64	10.15164728
65	10.09911805
66	10.04396761
67	9.991315809
68	9.941139866
69	9.889166866
70	9.838083425
71	9.787999982
72	9.736867659
73	9.689587325
74	9.642521547
75	9.593091014
76	9.54526152
77	9.50257813
78	9.458512098
79	9.410875278
80	9.369088925
81	9.327560465
82	9.284268317
83	9.243349134
84	9.202775975
85	9.162152353
86	9.117485534
87	9.074188479
88	9.032596537
89	8.988658109
90	8.947604199
91	8.908766873
92	8.874960623
93	8.833054106
94	8.797698921
95	8.759563975
96	8.723138856
97	8.689142723
98	8.651493572
99	8.615128193
100	8.578301301
101	8.540997036
102	8.510267815
103	8.476911894
104	8.44310999
105	8.409141833
106	8.372150183
107	8.342281064
108	8.306249649
109	8.273210911
110	8.239786029
111	8.205401572
112	8.174633456
113	8.14242464
114	8.111994918
115	8.080666222
116	8.046649635
117	8.017294729
118	7.984964314
119	7.958085519
120	7.926443644
121	7.896522586
122	7.86630305
123	7.835715069
124	7.807518558
125	7.780902278
126	7.753289638
127	7.725805196
128	7.704801756
129	7.677098448
130	7.652198231
131	7.624393532
132	7.599113682
133	7.574869388
134	7.552631133
135	7.526125365
136	7.501280912
137	7.480169309
138	7.455537402
139	7.431907828
140	7.410219843
141	7.390291289
142	7.366169894
143	7.344718609
144	7.321726949
145	7.300513415
146	7.279981815
147	7.258482773
148	7.235290989
149	7.214538774
150	7.191628562
151	7.173385888
152	7.15490504
153	7.13418019
154	7.112697088
155	7.091545816
156	7.070984299
157	7.049885849
158	7.029573781
159	7.009183008
160	6.987988171
161	6.970348862
162	6.953553413
163	6.934674597
164	6.917095608
165	6.899994412
166	6.88083719
167	6.862064912
168	6.845813733
169	6.831490938
170	6.813262964
171	6.794558412
172	6.775854945
173	6.757493704
174	6.739216121
175	6.721847141
176	6.705804522
177	6.690920188
178	6.675099133
179	6.658345146
180	6.642683973
181	6.62619349
182	6.612358403
183	6.597281737
184	6.582238899
185	6.568548491
186	6.553779499
187	6.537965485
188	6.52254045
189	6.508560238
190	6.495406082
191	6.480584474
192	6.466659399
193	6.453326575
194	6.439534693
195	6.426267852
196	6.412517974
197	6.401118863
198	6.387450202
199	6.374571287
200	6.362109842
201	6.349820338
202	6.336238744
203	6.32539654
204	6.313191739
205	6.30044525
206	6.288606988
207	6.276864342
208	6.266094578
209	6.254962171
210	6.244170285
211	6.233376208
212	6.223229374
213	6.21264332
214	6.20220288
215	6.191669634
216	6.180387038
217	6.170011231
218	6.160217349
219	6.149605337
220	6.139143331
221	6.12946756
222	6.120787499
223	6.11061318
224	6.100542919
225	6.092016678
226	6.083109692
227	6.074385555
228	6.066260088
229	6.05856607
230	6.049959281
231	6.04096752
232	6.031341518
233	6.022843518
234	6.014411789
235	6.006611417
236	5.996954071
237	5.987891314
238	5.981105706
239	5.971913864
240	5.965250894
241	5.956848513
242	5.948078684
243	5.939779963
244	5.931837878
245	5.923919601
246	5.919566496
247	5.912715941
248	5.906053225
249	5.89860384
250	5.892012213
251	5.884315545
252	5.876400394
253	5.869762627
254	5.863900009
255	5.858141499
256	5.851377336
257	5.844466011
258	5.83541151
259	5.829090641
260	5.821536825
261	5.814072837
262	5.807201446
263	5.799802669
264	5.793356453
265	5.787307806
266	5.781326161
267	5.774594497
268	5.768513103
269	5.762328504
270	5.756437771
271	5.750740673
272	5.744936548
273	5.738621795
274	5.732257384
275	5.72698799
276	5.720059562
277	5.715161723
278	5.708585712
279	5.702529998
280	5.696263131
281	5.69200343
282	5.686335835
283	5.680404748
284	5.674588839
285	5.668194908
286	5.662966489
287	5.657232313
288	5.651751388
289	5.64623553
290	5.64238259
291	5.63728764
292	5.6320458
293	5.627499415
294	5.622653305
295	5.616537021
296	5.61198869
297	5.606333598
298	5.600536891
299	5.596766809
300	5.592195638
301	5.588345671
302	5.584042193
303	5.580802155
304	5.576337608
305	5.571826841
306	5.567665669
307	5.56374802
308	5.558650987
309	5.555296689
310	5.549571063
311	5.545799793
312	5.541332321
313	5.537002165
314	5.532849887
315	5.527865532
316	5.524091331
317	5.519102742
318	5.515586745
319	5.510991681
320	5.507323868
321	5.50430115
322	5.500195954
323	5.496051154
324	5.493303982
325	5.489195156
326	5.485986081
327	5.482525863
328	5.477034582
329	5.473317097
330	5.469098181
331	5.465855056
332	5.464068711
333	5.460743135
334	5.457380137
335	5.452982804
336	5.449746705
337	5.446634378
338	5.443998667
339	5.440599545
340	5.437815347
341	5.435131461
342	5.43245619
343	5.428094426
344	5.424750049
345	5.421943836
346	5.418446949
347	5.41607264
348	5.412176884
349	5.408466198
350	5.404446467
351	5.400797589
352	5.399401527
353	5.395516385
354	5.393062505
355	5.388660924
356	5.384919676
357	5.381581554
358	5.378107779
359	5.375273969
360	5.371904723
361	5.368255166
362	5.365964622
363	5.362588569
364	5.359407181
365	5.356374478
366	5.354447916
367	5.351642508
368	5.348808366
369	5.344866134
370	5.342537372
371	5.339261379
372	5.336858929
373	5.333775388
374	5.331037842
375	5.327862014
376	5.325410512
377	5.322842049
378	5.321035162
379	5.318588692
380	5.316418725
381	5.314180447
382	5.311560827
383	5.308693846
384	5.306473608
385	5.304286133
386	5.301268015
387	5.298297683
388	5.296173863
389	5.293879577
390	5.290307215
391	5.288859479
392	5.286683757
393	5.282783413
394	5.28131932
395	5.278320326
396	5.276258136
397	5.27432801
398	5.271517235
399	5.269339734
400	5.266839735
401	5.264132625
402	5.261598827
403	5.25971135
404	5.258191027
405	5.255956649
406	5.253654468
407	5.251368031
408	5.249527791
409	5.246951374
410	5.244818357
411	5.242552077
412	5.240844272
413	5.23818396
414	5.236503113
415	5.234216919
416	5.231564007
417	5.229091063
418	5.226959856
419	5.225136515
420	5.222578483
421	5.220402027
422	5.218434517
423	5.216402733
424	5.214415356
425	5.212448806
426	5.210724553
427	5.208908814
428	5.206304087
429	5.204011644
430	5.202366325
431	5.200427498
432	5.198255066
433	5.196745446
434	5.194946965
435	5.193506926
436	5.190669949
437	5.188842629
438	5.186897515
439	5.184885134
440	5.182871265
441	5.180479482
442	5.17865307
443	5.176760447
444	5.174706337
445	5.172306527
446	5.169722284
447	5.167873089
448	5.166120433
449	5.165210331
450	5.163691328
451	5.161797053
452	5.160564275
453	5.159853944
454	5.157768771
455	5.155403841
456	5.15339849
457	5.151802002
458	5.150298209
459	5.148579219
460	5.145939036
461	5.143592822
462	5.141640322
463	5.139570102
464	5.137447147
465	5.135153436
466	5.132984934
467	5.131720931
